uniprot_accession,organism,organism_type,gh_family,optimum_temperature,optimum_pH
A0A0B5JC15,Humicola insolens (Soft-rot fungus),fungal,GH11,,
B3A0S5,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),fungal,GH10,,
B3VSG7,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,
D5EY13,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),bacterial,GH10,,
P83513,Pseudobutyrivibrio xylanivorans,bacterial,GH11,,5.6
Q59675,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
Q8GJ44,Thermoclostridium stercorarium (Clostridium stercorarium),bacterial,GH11,,
P23030,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
P84195,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,
Q2LMP0,Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea),fungal,GH11,,
Q4P0L3,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),fungal,GH11,,
Q59674,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
V9TS54,Humicola insolens (Soft-rot fungus),fungal,GH11,,
V9TXH2,Paenibacillus barcinonensis,bacterial,GH11,,
B3PIN1,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
J7FK35,Aspergillus oryzae (Yellow koji mold),fungal,GH10,,
P14768,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
Q1K5S8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,,
Q21G61,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,,
Q8VP72,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
Q96UV7,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),fungal,GH11,,
U5HTZ3,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,
A0A024FRL8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,
A0A024FRX8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,
A0A024FS83,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,
A0A024FSH9,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,
A0A059P9J8,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,
A0A075WJH8,Malbranchea pulchella,fungal,GH10,45,3.5
A0A0C4K5J5,Papiliotrema flavescens,fungal,GH10,,
A0A0F9XA32,Trichoderma harzianum (Hypocrea lixii),fungal,GH11,,
A0A0K3A1E7,Xanthomonas graminis pv. arrhenatheri LMG 727,bacterial,GH10,,
A0A0K3A9X5,Xanthomonas graminis pv. poae,bacterial,GH10,,
A0A0S3G5Y8,Bacillus sp. SC-2014,bacterial,GH11,,
A0A0U2V335,Thermoactinospora rubra,bacterial,GH10,,
A0A173M083,Ruminiclostridium josui (Clostridium josui),bacterial,GH10,,
A0A1X9RHS0,Paenibacillus amylolyticus,bacterial,GH10,,
A0A286N5W6,Paenibacillus massiliensis subsp. panacisoli,bacterial,GH10,,
A0A291B2R6,Humicola insolens (Soft-rot fungus),fungal,GH11,,
A0A291B2S7,Humicola insolens (Soft-rot fungus),fungal,GH11,,
A0A291B2W8,Humicola insolens (Soft-rot fungus),fungal,GH11,,
A0A291NUE5,Bacillus licheniformis,bacterial,GH11,50,6.0
A0A291NUI0,Bacillus subtilis,bacterial,GH11,100,5.0
A0A2D0WJC8,Evansstolkia leycettana,fungal,GH11,60,
A0A2L1GH36,Caldicoprobacter sp,bacterial,GH11,,
A0A2L1GIZ3,Penicillium sp,fungal,GH11,,
A0A2P0ZW24,Paenibacillus woosongensis,bacterial,GH10,,
A0A2Z5XER4,Penicillium sp,fungal,GH10,,
A0A3Q8TLG0,Thermobifida fusca (Thermomonospora fusca),bacterial,GH10,,
A0A411KZA6,Allostreptomyces psammosilenae,bacterial,GH10,,
A0A4D6DK93,Streptomyces ipomoeae,bacterial,GH10,75 - 80,6.5
A0A5P6VQ80,Pseudobutyrivibrio xylanivorans,bacterial,GH10,,5.6
A0A5P6VU75,Pseudobutyrivibrio xylanivorans,bacterial,GH10,,5.6
A0A6B9D8N2,Aspergillus sulphureus,fungal,GH11,50,5.0
A0A7G1PUW3,Pestalotiopsis sp. AN 7,fungal,GH10,,
A0A7M3UE38,Cladosporium tianshanense,fungal,GH10,,
A0A8D5NM93,Streptomyces thermogriseus,bacterial,GH10,,
A0A8D5NPL2,Streptomyces thermogriseus,bacterial,GH11,,
A0A8E4VW23,Aspergillus sulphureus,fungal,GH10,50,5.0
A0A8H8R2B4,Lachnellula hyalina,fungal,GH11,,
A0A8H8S0Y0,Lachnellula occidentalis,fungal,GH11,,
A0A8T9BDL5,Lachnellula arida,fungal,GH11,,
A0A8T9CAR3,Lachnellula suecica,fungal,GH11,,
A0A9P5GH10,Penicillium crustosum (Blue mold fungus),fungal,GH10,,
A0AAV9NYM1,Saxophila tyrrhenica,fungal,GH11,,
A0AAW8VCD8,Bacteroides cellulosilyticus,bacterial,GH10,,
A0ABM8UZ22,Thermobacillus xylanilyticus,bacterial,GH10,,
A0ABM8V1H3,Thermobacillus xylanilyticus,bacterial,GH11,,
A0ABN7RUD1,Thermobacillus xylanilyticus,bacterial,GH11,,
A0ABN7S7D7,Thermobacillus xylanilyticus,bacterial,GH10,,
A0ABN7S882,Thermobacillus xylanilyticus,bacterial,GH10,,
A0ABN7S928,Thermobacillus xylanilyticus,bacterial,GH10,,
A5H0S3,Bacillus licheniformis,bacterial,GH11,50,6.0
A7TVD4,Streptomyces fradiae (Streptomyces roseoflavus),bacterial,GH10,60,7.8
B1A3N2,Paenibacillus curdlanolyticus,bacterial,GH10,,7.0
B3PC74,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
B3PDA8,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,
B3PIN0,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,
B5SYI8,Bacillus licheniformis,bacterial,GH11,50,6.0
B9VSZ3,Demequina sp. JK4,bacterial,GH10,55,5.5
D2KPJ0,Bacillus sp. JB99,bacterial,GH11,,
D3GKE3,Paenibacillus curdlanolyticus,bacterial,GH11,,6.0
D6CGY9,Bacteroides xylanisolvens,bacterial,GH10,,
E0RXQ0,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,
E0RYH1,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,
E0S1S5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,
E0S1Z8,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,
E0S2F5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,
E3WF08,Paenibacillus curdlanolyticus,bacterial,GH10,,7.5
E9NSU0,Aspergillus usamii (Aspergillus shirousami),fungal,GH10,,
E9S8N5,Ruminococcus albus 8,bacterial,GH11,,
E9SA77,Ruminococcus albus 8,bacterial,GH11,,
E9SDY0,Ruminococcus albus 8,bacterial,GH10,,
F0BDW7,Xanthomonas vesicatoria ATCC 35937,bacterial,GH10,,
F2Z9G6,Paenibacillus curdlanolyticus,bacterial,GH10,,6.0
F6LP79,Ruminococcus albus 8,bacterial,GH10,,
F6LP81,Ruminococcus albus 8,bacterial,GH10,,
G0YP25,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,
G0YP27,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,
G0YP28,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,
G1E731,Bacillus sp. JB 99,bacterial,GH10,,
G9BY19,Penicillium sp. enrichment culture clone C1,fungal,GH10,,
G9DBG3,Talaromyces pinophilus (Penicillium pinophilum),fungal,GH11,,
H6WWN7,Aspergillus oryzae (Yellow koji mold),fungal,GH11,,
I3NRT9,Thermobifida halotolerans,bacterial,GH11,,
I4DXK6,Paenibacillus curdlanolyticus,bacterial,GH10,,6.0
J7JXS8,Caldanaerobius polysaccharolyticus,bacterial,GH10,,
Q0PRN5,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),bacterial,GH10,,
Q21GI8,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,
Q21HD6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,
Q21MW6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,,
Q21NZ2,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,
Q21PD4,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,
Q288H9,Flavobacterium sp. MSY2,bacterial,GH10,,
Q45UD8,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,
Q546Y2,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH10,,
Q5YB84,Neocallimastix frontalis (Rumen fungus),fungal,GH11,,
Q6GVM9,Ruminococcus albus,bacterial,GH11,,
Q6UN40,Thermochaetoides thermophila,fungal,GH11,,7.8
Q79MJ7,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH11,,
Q7RW51,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,
Q7S0Y0,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,
Q7S3P8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,
Q7S6C2,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,
Q7SDQ1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,,
Q7Z8B8,Neocallimastix frontalis (Rumen fungus),fungal,GH11,,
Q8GMV6,Thermopolyspora flexuosa,bacterial,GH10,,7.0
Q8GMV7,Thermopolyspora flexuosa,bacterial,GH11,,7.0
Q8J1V4,Thermochaetoides thermophila,fungal,GH11,,
Q8J1V5,Thermochaetoides thermophila,fungal,GH11,,
Q8J1V6,Thermochaetoides thermophila,fungal,GH11,,6.5
Q9HDL7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,,
Q9HEN3,Curvularia spicifera,fungal,GH11,,
Q9HEN4,Curvularia spicifera,fungal,GH11,,
Q9HEN5,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,,
Q9HEN6,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,,
Q9HEN7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,,
Q9HEP2,Bipolaris sorghicola,fungal,GH11,,
Q9HEP3,Bipolaris sorghicola,fungal,GH11,,
Q9RQB7,Xylanimonas pachnodae,bacterial,GH10,,
Q9RQB8,Xylanimonas pachnodae,bacterial,GH11,,
S4S3F1,Phialophora sp. P13,fungal,GH11,,
U5HTS3,Ophiostoma piliferum (Ceratocystis pilifera),fungal,GH11,,
U5HU68,Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata),fungal,GH11,,
V5R355,Aspergillus fumigatus (Neosartorya fumigata),fungal,GH11,,
V9NCQ7,Bacillus sp. SN5,bacterial,GH11,,
W5VXL4,Neurospora sitophila (Chrysonilia sitophila),fungal,GH11,,
A0A0K8J318,Herbinix luporum,bacterial,GH11,,
A0A6M5Z4H3,Frigoriglobus tundricola,bacterial,GH10,,
A0A7U4XSS7,Clostridium sporogenes,bacterial,GH11,,
A0ACD6B907,uncultured bacterium,bacterial,GH11,37,6.0
A0ACD6BAA5,Bacillus sp,bacterial,GH10,,
A0ACD6BAS8,Bacillus sp,bacterial,GH11,,
F0BDW4,Xanthomonas vesicatoria ATCC 35937,bacterial,GH10,,
K9TUC6,Chroococcidiopsis thermalis (strain PCC 7203),bacterial,GH10,,
Q6V8M0,Rhodothermus marinus (Rhodothermus obamensis),bacterial,GH10,,
